model,f1_macro,roc_auc,pr_auc
BalRF,0.5469120299923624,0.7121468926553673,0.9862285921837006
Vote,0.5289892394706405,0.7256591337099811,0.9858133214266482
XGB,0.5223602603770441,0.5267890772128061,0.9845246698115426
EasyEns,0.49279592814762374,0.6937382297551788,0.9877920231508638
